"Date","Count"
"2014-11-07","641"
"2014-11-08","543"
"2014-11-09","419"
"2014-11-10","560"
"2014-11-11","493"
"2014-11-12","546"
"2014-11-13","696"
"2014-11-14","651"
"2014-11-15","529"
"2014-11-16","429"
"2014-11-17","666"
"2014-11-18","711"
"2014-11-19","633"
"2014-11-20","634"
"2014-11-21","677"
"2014-11-22","511"
"2014-11-23","425"
"2014-11-24","722"
"2014-11-25","599"
"2014-11-26","742"
"2014-11-27","378"
"2014-11-28","444"
"2014-11-29","394"
"2014-11-30","377"
"2014-12-01","644"
"2014-12-02","611"
"2014-12-03","569"
"2014-12-04","606"
"2014-12-05","671"
"2014-12-06","628"
"2014-12-07","493"
"2014-12-08","578"
"2014-12-09","645"
"2014-12-10","649"
"2014-12-11","668"
"2014-12-12","687"
"2014-12-13","594"
"2014-12-14","437"
"2014-12-15","720"
"2014-12-16","645"
"2014-12-17","554"
"2014-12-18","620"
"2014-12-19","652"
"2014-12-20","505"
"2014-12-21","409"
"2014-12-22","566"
"2014-12-23","732"
"2014-12-24","519"
"2014-12-25","303"
"2014-12-26","446"
"2014-12-27","405"
"2014-12-28","349"
"2014-12-29","411"
"2014-12-30","468"
"2014-12-31","460"
"2015-01-01","395"
"2015-01-02","442"
"2015-01-03","456"
"2015-01-04","380"
"2015-01-05","498"
"2015-01-06","776"
"2015-01-07","538"
"2015-01-08","573"
"2015-01-09","751"
"2015-01-10","481"
"2015-01-11","341"
"2015-01-12","580"
"2015-01-13","613"
"2015-01-14","506"
"2015-01-15","546"
"2015-01-16","563"
"2015-01-17","495"
"2015-01-18","960"
"2015-01-19","496"
"2015-01-20","500"
"2015-01-21","495"
"2015-01-22","508"
"2015-01-23","598"
"2015-01-24","428"
"2015-01-25","406"
"2015-01-26","484"
"2015-01-27","188"
"2015-01-28","458"
"2015-01-29","519"
"2015-01-30","622"
"2015-01-31","526"
"2015-02-01","361"
"2015-02-02","680"
"2015-02-03","740"
"2015-02-04","585"
"2015-02-05","569"
"2015-02-06","652"
"2015-02-07","449"
"2015-02-08","394"
"2015-02-09","547"
"2015-02-10","571"
"2015-02-11","610"
"2015-02-12","526"
"2015-02-13","757"
"2015-02-14","436"
"2015-02-15","453"
"2015-02-16","402"
"2015-02-17","620"
"2015-02-18","626"
"2015-02-19","515"
"2015-02-20","621"
"2015-02-21","517"
"2015-02-22","519"
"2015-02-23","574"
"2015-02-24","580"
"2015-02-25","628"
"2015-02-26","539"
"2015-02-27","703"
"2015-02-28","538"
"2015-03-01","693"
"2015-03-02","650"
"2015-03-03","631"
"2015-03-04","574"
"2015-03-05","829"
"2015-03-06","936"
"2015-03-07","578"
"2015-03-08","464"
"2015-03-09","661"
"2015-03-10","584"
"2015-03-11","565"
"2015-03-12","586"
"2015-03-13","608"
"2015-03-14","507"
"2015-03-15","458"
"2015-03-16","529"
"2015-03-17","528"
"2015-03-18","547"
"2015-03-19","582"
"2015-03-20","570"
"2015-03-21","506"
"2015-03-22","432"
"2015-03-23","586"
"2015-03-24","601"
"2015-03-25","538"
"2015-03-26","525"
"2015-03-27","532"
"2015-03-28","459"
"2015-03-29","505"
"2015-03-30","556"
"2015-03-31","628"
"2015-04-01","648"
"2015-04-02","653"
"2015-04-03","491"
"2015-04-04","507"
"2015-04-05","422"
"2015-04-06","509"
"2015-04-07","452"
"2015-04-08","457"
"2015-04-09","452"
"2015-04-10","486"
"2015-04-11","576"
"2015-04-12","443"
"2015-04-13","554"
"2015-04-14","541"
"2015-04-15","595"
