"STATION","NAME","DATE","AWND","PRCP","TAVG"
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-07","7.38","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-08","6.04","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-09","2.68","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-10","2.46","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-11","3.36","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-12","2.68","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-13","3.58","0.20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-14","7.16","0.06",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-15","3.58","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-16","3.80","0.03",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-17","3.80","1.54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-18","10.07","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-19","7.16","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-20","7.16","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-21","7.61","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-22","4.92","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-23","3.80","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-24","5.37","0.70",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-25","5.14","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-26","8.72","1.24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-27","5.14","0.02",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-28","5.82","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-29","3.58","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-11-30","4.25","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-01","6.71","0.09",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-02","9.17","0.08",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-03","7.61","0.06",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-04","5.82","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-05","6.04","0.51",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-06","4.03","1.22",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-07","11.86","0.04",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-08","11.41","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-09","10.29","2.54",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-10","8.28","0.08",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-11","7.61","0.01",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-12","8.05","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-13","8.95","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-14","6.04","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-15","2.68","0.00",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-16","3.80","0.20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2014-12-17","5.82","0.02",
