name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,notRepairedDamage
Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manuell,125,c4,125000,4,,citroen,nein
VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen,
Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat,ja
KIA_SPORTAGE,privat,Angebot,14500,control,,2017,manuell,136,sportage,125000,5,diesel,kia,nein
OPEL_astra_G_TÜV_NEU,privat,Angebot,1200,control,,2018,manuell,75,astra,150000,0,,opel,nein
Renault_Twingo_Lazuli_sport_1.2_16V_TÜV_2_jahre,privat,Angebot,2800,control,,2018,manuell,75,twingo,125000,12,,renault,nein
Renault_Grand_Espace,privat,Angebot,1250,control,,2017,,0,espace,150000,8,benzin,renault,
Mercedes_Benz_A_klasse,privat,Angebot,1450,control,,2017,,0,a_klasse,150000,8,benzin,mercedes_benz,
VW_Buss_T5_Kastenwagen_mit_Klima_und_Anhaengerkupplung,privat,Angebot,3999,control,,2017,manuell,85,transporter,150000,10,diesel,volkswagen,
Fiat_Sicento_Abart,privat,Angebot,1650,control,,2017,manuell,0,seicento,60000,5,benzin,fiat,nein
Opel_Astra_Automatik,privat,Angebot,3400,control,,2018,,0,astra,150000,8,benzin,opel,nein
Passat_fuer_ausschalten,privat,Angebot,1300,control,,2017,manuell,150,,150000,10,,volkswagen,nein
VW_golf_1_4_4_tuer,privat,Angebot,1950,control,,2017,manuell,0,,150000,7,benzin,volkswagen,nein
Seat_Ibiza_weiss_sparsam_8_fach_bereift,privat,Angebot,5250,control,,2017,manuell,84,ibiza,70000,4,,seat,nein
Schoener_Peugeot_306_3_Hand,privat,Angebot,899,control,,2018,automatik,101,3_reihe,150000,6,,peugeot,nein
